COUNTYFP,NAME,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSDDUC,G16USSRKIR,G16USSLMCM,G16USSGSUM,G16USSOWRI,G16COMDMEN,G16COMRMUN,G16COMLBAL,G16COMGCUR,NEIGHBORS,NEIGHBOR
"031",NORTHFIELD 38,"376","191","30","12","10","310","271","13","10","3","247","303","17","26","NORTHFIELD 44,NORTHFIELD 10,NORTHFIELD 25,MAINE 2,MAINE 69,NORTHFIELD 4,MAINE 31,NORTHFIELD 21","NORTHFIELD 44 31,NORTHFIELD 10 31,NORTHFIELD 25 31,MAINE 2 31,MAINE 69 31,NORTHFIELD 4 31,MAINE 31 31,NORTHFIELD 21 31"
"031",NORTHFIELD 39,"259","164","15","3","3","219","202","7","8","1","197","208","12","11","WHEELING 12,WHEELING 11,NORTHFIELD 27,WHEELING 85,NORTHFIELD 59,NORTHFIELD 33,MAINE 86","WHEELING 12 31,WHEELING 11 31,NORTHFIELD 27 31,WHEELING 85 31,NORTHFIELD 59 31,NORTHFIELD 33 31,MAINE 86 31"
"031",NORTHFIELD 45,"575","262","45","14","19","408","467","22","11","0","371","479","21","10","NORTHFIELD 29,NORTHFIELD 26,NORTHFIELD 15,NORTHFIELD 46,NORTHFIELD 28,NORTHFIELD 8","NORTHFIELD 29 31,NORTHFIELD 26 31,NORTHFIELD 15 31,NORTHFIELD 46 31,NORTHFIELD 28 31,NORTHFIELD 8 31"
"031",NORTHFIELD 58,"247","154","12","4","8","199","215","8","4","1","171","237","4","2","NORTHFIELD 3,West Deerfield 400,NORTHFIELD 62,NORTHFIELD 29,NORTHFIELD 26,NORTHFIELD 40,NORTHFIELD 15,West Deerfield 401","NORTHFIELD 3 31,West Deerfield 400 97,NORTHFIELD 62 31,NORTHFIELD 29 31,NORTHFIELD 26 31,NORTHFIELD 40 31,NORTHFIELD 15 31,West Deerfield 401 97"
"031",NORTHFIELD 47,"669","249","31","4","12","548","404","6","8","0","459","456","14","7","NORTHFIELD 3,NORTHFIELD 54,NORTHFIELD 22,NORTHFIELD 16","NORTHFIELD 3 31,NORTHFIELD 54 31,NORTHFIELD 22 31,NORTHFIELD 16 31"
"031",NORTHFIELD 52,"419","196","30","9","17","341","306","7","7","3","245","378","12","12","NORTHFIELD 7,NORTHFIELD 12,NORTHFIELD 30,NORTHFIELD 56,NORTHFIELD 42,NORTHFIELD 31","NORTHFIELD 7 31,NORTHFIELD 12 31,NORTHFIELD 30 31,NORTHFIELD 56 31,NORTHFIELD 42 31,NORTHFIELD 31 31"
"031",WHEELING 11,"560","380","32","13","9","493","443","29","17","1","413","486","29","29","WHEELING 65,WHEELING 42,WHEELING 56,NORTHFIELD 39,WHEELING 85,MAINE 86,MAINE 64,MAINE 77","WHEELING 65 31,WHEELING 42 31,WHEELING 56 31,NORTHFIELD 39 31,WHEELING 85 31,MAINE 86 31,MAINE 64 31,MAINE 77 31"
"031",WHEELING 12,"516","477","47","10","16","461","519","40","17","3","352","588","42","27","WHEELING 43,WHEELING 83,WHEELING 75,WHEELING 16,NORTHFIELD 39,NORTHFIELD 27,WHEELING 77,WHEELING 80,WHEELING 85","WHEELING 43 31,WHEELING 83 31,WHEELING 75 31,WHEELING 16 31,NORTHFIELD 39 31,NORTHFIELD 27 31,WHEELING 77 31,WHEELING 80 31,WHEELING 85 31"
"031",WHEELING 29,"242","154","22","10","6","212","195","11","10","0","186","217","14","7","WHEELING 76,NORTHFIELD 50,WHEELING 47,WHEELING 37,WHEELING 54,WHEELING 43,NORTHFIELD 27,WHEELING 77","WHEELING 76 31,NORTHFIELD 50 31,WHEELING 47 31,WHEELING 37 31,WHEELING 54 31,WHEELING 43 31,NORTHFIELD 27 31,WHEELING 77 31"
"031",WHEELING 67,"293","99","15","3","6","238","166","2","3","2","209","194","2","0","Vernon 286,Vernon 287,West Deerfield 390,NORTHFIELD 54,NORTHFIELD 16,WHEELING 76,WHEELING 1,WHEELING 88","Vernon 286 97,Vernon 287 97,West Deerfield 390 97,NORTHFIELD 54 31,NORTHFIELD 16 31,WHEELING 76 31,WHEELING 1 31,WHEELING 88 31"
